frame,id,x,y,w,h,class_id,score,unique_ids_seen
74,0,1300,1036,184,45,2,0.517594,4
74,1,282,559,181,80,2,0.573818,4
74,2,926,463,45,39,2,0.472645,4
74,3,1785,629,52,118,0,0.420283,4
75,0,1309,1042,182,39,2,0.517594,4
75,1,283,559,181,81,2,0.573818,4
75,2,926,465,46,40,2,0.472645,4
75,3,1785,629,52,118,0,0.420283,4
76,0,1317,1047,180,35,2,0.517594,4
76,1,284,560,181,80,2,0.57217,4
76,2,926,468,46,40,2,0.472645,4
76,3,1785,629,52,118,0,0.420283,4
77,0,1326,1052,178,31,2,0.517594,4
77,1,284,560,181,80,2,0.57217,4
77,2,927,470,46,40,2,0.472645,4
77,3,1786,629,52,118,0,0.420283,4
78,0,1334,1055,177,28,2,0.517594,4
78,1,282,562,183,79,2,0.633106,4
78,2,926,473,47,38,2,0.480263,4
78,3,1786,629,52,118,0,0.420283,4
79,0,1342,1058,176,26,2,0.517594,4
79,1,282,562,183,79,2,0.633106,4
79,2,927,475,47,38,2,0.480263,4
79,3,1787,629,52,118,0,0.420283,4
80,0,1350,1061,175,24,2,0.517594,4
80,1,280,563,176,81,2,0.6358,4
80,2,927,477,47,38,2,0.480263,4
80,3,1787,629,52,118,0,0.420283,4
81,0,1359,1063,175,22,2,0.517594,4
81,1,280,564,175,81,2,0.6358,4
81,2,927,479,47,38,2,0.480263,4
81,3,1788,629,52,118,0,0.420283,4
82,0,1367,1065,174,21,2,0.517594,4
82,1,281,561,180,84,2,0.63354,4
82,2,928,481,48,38,2,0.480263,4
82,3,1788,629,52,118,0,0.420283,4
83,0,1374,1066,174,20,2,0.517594,4
83,1,281,561,180,84,2,0.63354,4
83,2,928,484,48,38,2,0.480263,4
83,3,1789,629,52,118,0,0.420283,4
84,0,1382,1067,174,19,2,0.517594,4
84,1,283,562,181,83,2,0.688225,4
84,2,927,484,50,45,2,0.425815,4
84,3,1789,629,52,118,0,0.420283,4
85,0,1390,1069,173,19,2,0.517594,4
85,1,283,563,181,84,2,0.688225,4
85,2,927,486,51,45,2,0.425815,4
85,3,1790,629,52,118,0,0.420283,4
86,0,1398,1070,173,18,2,0.517594,4
86,1,284,561,180,84,2,0.694759,4
86,2,928,485,50,47,2,0.55839,4
86,3,1790,629,52,118,0,0.420283,4
87,0,1406,1071,173,18,2,0.517594,4
87,1,284,561,180,85,2,0.694759,4
87,2,929,486,50,48,2,0.55839,4
87,3,1791,629,52,118,0,0.420283,4
88,0,1414,1072,173,17,2,0.517594,4
88,1,284,561,180,86,2,0.707823,4
88,2,929,490,50,46,2,0.505338,4
88,3,1791,629,52,118,0,0.420283,4
89,0,1421,1072,173,17,2,0.517594,4
89,1,284,561,180,86,2,0.707823,4
89,2,930,493,50,46,2,0.505338,4
89,3,1791,629,52,118,0,0.420283,4
90,0,1429,1073,173,17,2,0.517594,4
90,1,284,559,182,88,2,0.641691,4
90,2,930,495,50,46,2,0.505338,4
90,3,1792,629,52,118,0,0.420283,4
91,0,1437,1074,173,17,2,0.517594,4
91,1,284,559,182,88,2,0.641691,4
91,2,931,495,50,48,2,0.581478,4
91,3,1792,629,52,118,0,0.420283,4
92,0,1445,1075,173,17,2,0.517594,4
92,1,284,567,182,80,2,0.648193,4
92,2,931,497,50,49,2,0.581478,4
92,3,1793,629,52,118,0,0.420283,4
93,0,1452,1075,172,16,2,0.517594,4
93,1,284,569,182,79,2,0.648193,4
93,2,933,502,49,49,2,0.523205,4
93,3,1793,629,52,118,0,0.420283,4
94,0,1460,1076,172,16,2,0.517594,4
94,1,285,572,182,77,2,0.667136,4
94,2,933,505,48,49,2,0.523205,4
94,3,1794,629,52,118,0,0.420283,4
95,0,1468,1076,172,16,2,0.517594,4
95,1,285,573,183,76,2,0.667136,4
95,2,934,507,48,49,2,0.523205,4
